date,district,magnitude,depth_km,seismic_activity,earthquake
2024-01-01,Chennai,5.2,17,94,1
2024-01-04,Chennai,3.4,119,17,0
2024-01-07,Chennai,5.7,284,11,0
2024-01-10,Chennai,5.0,21,3,0
2024-01-13,Chennai,2.5,124,64,0
2024-01-16,Chennai,5.0,292,25,0
2024-01-19,Chennai,5.6,284,53,0
2024-01-22,Chennai,3.1,147,0,0
2024-01-25,Chennai,5.8,86,89,1
2024-01-28,Chennai,4.1,147,19,0
2024-01-31,Chennai,3.1,177,13,0
2024-02-03,Chennai,2.5,54,45,0
2024-02-06,Chennai,6.2,140,5,0
2024-02-09,Chennai,5.6,279,15,0
2024-02-12,Chennai,6.9,198,10,0
2024-02-15,Chennai,4.8,190,73,0
2024-02-18,Chennai,3.0,40,5,0
2024-02-21,Chennai,5.3,153,10,0
2024-02-24,Chennai,6.3,56,48,0
2024-02-27,Chennai,3.4,191,20,0
2024-03-02,Chennai,3.9,112,85,0
2024-03-05,Chennai,3.3,41,77,0
2024-03-08,Chennai,5.2,278,93,1
2024-03-11,Chennai,3.2,241,48,0
2024-03-14,Chennai,3.3,290,28,0
2024-03-17,Chennai,5.4,33,29,0
2024-03-20,Chennai,6.1,166,51,0
2024-03-23,Chennai,3.3,113,72,0
2024-03-26,Chennai,6.4,166,27,0
2024-03-29,Chennai,5.3,207,82,1
2024-04-01,Chennai,4.3,140,17,0
2024-04-04,Chennai,3.2,292,68,0
2024-04-07,Chennai,3.3,224,74,0
2024-04-10,Chennai,4.0,117,17,0
2024-04-13,Chennai,4.5,51,96,0
2024-04-16,Chennai,2.2,61,19,0
2024-04-19,Chennai,5.1,221,76,1
2024-04-22,Chennai,2.3,200,76,0
2024-04-25,Chennai,7.0,275,32,0
2024-04-28,Chennai,6.9,10,87,1
2024-05-01,Chennai,5.6,279,96,1
2024-05-04,Chennai,3.3,179,14,0
2024-05-07,Chennai,3.5,85,58,0
2024-05-10,Chennai,2.0,139,64,0
2024-05-13,Chennai,5.8,264,13,0
2024-05-16,Chennai,6.4,157,81,1
2024-05-19,Chennai,4.5,106,19,0
2024-05-22,Chennai,3.9,87,69,0
2024-05-25,Chennai,6.8,276,0,0
2024-05-28,Chennai,5.0,255,2,0
2024-05-31,Chennai,2.6,190,39,0
2024-06-03,Chennai,3.2,128,72,0
2024-06-06,Chennai,6.7,48,93,1
2024-06-09,Chennai,4.4,40,97,0
2024-06-12,Chennai,4.7,69,16,0
2024-06-15,Chennai,5.3,286,21,0
2024-06-18,Chennai,3.3,221,27,0
2024-06-21,Chennai,6.6,107,91,1
2024-06-24,Chennai,3.6,196,56,0
2024-06-27,Chennai,6.5,236,15,0
2024-06-30,Chennai,3.2,37,43,0
2024-07-03,Chennai,2.1,288,29,0
2024-07-06,Chennai,4.9,8,9,0
2024-07-09,Chennai,5.5,35,29,0
2024-07-12,Chennai,2.3,21,42,0
2024-07-15,Chennai,2.4,126,35,0
2024-07-18,Chennai,5.3,114,69,1
2024-07-21,Chennai,2.7,297,73,0
2024-07-24,Chennai,4.4,247,52,0
2024-07-27,Chennai,3.0,54,84,0
2024-07-30,Chennai,4.2,221,52,0
2024-08-02,Chennai,4.3,32,86,0
2024-08-05,Chennai,5.3,55,7,0
2024-08-08,Chennai,4.0,178,13,0
2024-08-11,Chennai,3.2,102,68,0
2024-08-14,Chennai,4.2,221,23,0
2024-08-17,Chennai,3.4,132,9,0
2024-08-20,Chennai,4.2,286,12,0
2024-08-23,Chennai,2.3,281,1,0
2024-08-26,Chennai,6.8,126,21,0
2024-08-29,Chennai,4.0,251,27,0
2024-09-01,Chennai,6.3,35,21,0
2024-09-04,Chennai,3.9,204,33,0
2024-09-07,Chennai,6.6,237,36,0
2024-09-10,Chennai,4.1,289,84,0
2024-09-13,Chennai,5.6,84,24,0
2024-09-16,Chennai,3.5,34,74,0
2024-09-19,Chennai,5.7,36,95,1
2024-09-22,Chennai,3.6,30,74,0
2024-09-25,Chennai,4.4,276,20,0
2024-09-28,Chennai,2.3,265,10,0
2024-10-01,Chennai,6.3,40,76,1
2024-10-04,Chennai,2.3,125,51,0
2024-10-07,Chennai,2.6,296,31,0
2024-10-10,Chennai,4.9,25,79,0
2024-10-13,Chennai,2.4,294,66,0
2024-10-16,Chennai,3.6,138,26,0
2024-10-19,Chennai,5.3,165,30,0
2024-10-22,Chennai,3.3,72,85,0
2024-10-25,Chennai,5.2,239,40,0
2024-10-28,Chennai,6.6,42,1,0
2024-10-31,Chennai,4.3,293,12,0
2024-11-03,Chennai,2.4,114,64,0
2024-11-06,Chennai,3.3,183,8,0
2024-11-09,Chennai,6.4,194,36,0
2024-11-12,Chennai,2.8,283,90,0
2024-11-15,Chennai,3.5,275,1,0
2024-11-18,Chennai,5.3,288,38,0
2024-11-21,Chennai,6.7,58,17,0
2024-11-24,Chennai,3.3,59,95,0
2024-11-27,Chennai,4.8,144,36,0
2024-11-30,Chennai,5.0,180,26,0
2024-12-03,Chennai,5.4,140,64,1
2024-12-06,Chennai,4.4,31,11,0
2024-12-09,Chennai,5.2,146,5,0
2024-12-12,Chennai,2.0,71,81,0
2024-12-15,Chennai,6.9,87,94,1
2024-12-18,Chennai,4.2,223,71,0
2024-12-21,Chennai,2.0,43,88,0
2024-12-24,Chennai,6.5,284,4,0
2024-12-27,Chennai,6.2,287,18,0
2024-12-30,Chennai,4.1,26,39,0
2024-01-01,Coimbatore,3.8,25,45,0
2024-01-04,Coimbatore,3.1,132,85,0
2024-01-07,Coimbatore,2.5,291,52,0
2024-01-10,Coimbatore,6.9,84,30,0
2024-01-13,Coimbatore,6.3,95,52,0
2024-01-16,Coimbatore,2.1,175,100,0
2024-01-19,Coimbatore,6.7,132,34,0
2024-01-22,Coimbatore,2.8,60,48,0
2024-01-25,Coimbatore,6.4,245,28,0
2024-01-28,Coimbatore,3.0,240,44,0
2024-01-31,Coimbatore,3.5,121,28,0
2024-02-03,Coimbatore,2.1,103,51,0
2024-02-06,Coimbatore,3.6,40,98,0
2024-02-09,Coimbatore,3.4,265,51,0
2024-02-12,Coimbatore,5.4,279,42,0
2024-02-15,Coimbatore,6.7,64,33,0
2024-02-18,Coimbatore,2.9,140,4,0
2024-02-21,Coimbatore,2.5,227,44,0
2024-02-24,Coimbatore,5.6,165,55,0
2024-02-27,Coimbatore,5.0,266,14,0
2024-03-02,Coimbatore,3.9,300,24,0
2024-03-05,Coimbatore,3.3,228,0,0
2024-03-08,Coimbatore,4.6,280,87,0
2024-03-11,Coimbatore,5.6,105,46,0
2024-03-14,Coimbatore,4.2,174,79,0
2024-03-17,Coimbatore,3.6,68,92,0
2024-03-20,Coimbatore,6.5,264,39,0
2024-03-23,Coimbatore,5.3,172,51,0
2024-03-26,Coimbatore,5.5,288,16,0
2024-03-29,Coimbatore,3.0,199,86,0
2024-04-01,Coimbatore,5.7,94,78,1
2024-04-04,Coimbatore,4.8,212,70,0
2024-04-07,Coimbatore,6.2,160,36,0
2024-04-10,Coimbatore,3.1,169,59,0
2024-04-13,Coimbatore,4.2,114,65,0
2024-04-16,Coimbatore,4.4,91,84,0
2024-04-19,Coimbatore,2.4,268,84,0
2024-04-22,Coimbatore,5.2,176,11,0
2024-04-25,Coimbatore,6.1,125,86,1
2024-04-28,Coimbatore,3.6,106,18,0
2024-05-01,Coimbatore,2.1,130,60,0
2024-05-04,Coimbatore,5.1,42,58,0
2024-05-07,Coimbatore,4.1,299,24,0
2024-05-10,Coimbatore,5.6,201,63,1
2024-05-13,Coimbatore,4.0,80,83,0
2024-05-16,Coimbatore,5.4,59,99,1
2024-05-19,Coimbatore,4.1,95,89,0
2024-05-22,Coimbatore,4.6,30,71,0
2024-05-25,Coimbatore,3.2,67,58,0
2024-05-28,Coimbatore,2.7,242,85,0
2024-05-31,Coimbatore,4.7,291,76,0
2024-06-03,Coimbatore,3.6,231,78,0
2024-06-06,Coimbatore,6.1,263,54,0
2024-06-09,Coimbatore,6.2,285,57,0
2024-06-12,Coimbatore,6.5,248,57,0
2024-06-15,Coimbatore,3.3,131,81,0
2024-06-18,Coimbatore,3.4,271,62,0
2024-06-21,Coimbatore,5.1,145,56,0
2024-06-24,Coimbatore,2.4,151,30,0
2024-06-27,Coimbatore,3.4,168,69,0
2024-06-30,Coimbatore,2.4,82,29,0
2024-07-03,Coimbatore,3.9,83,90,0
2024-07-06,Coimbatore,3.1,217,52,0
2024-07-09,Coimbatore,3.7,243,53,0
2024-07-12,Coimbatore,2.3,220,49,0
2024-07-15,Coimbatore,6.5,15,97,1
2024-07-18,Coimbatore,4.9,249,0,0
2024-07-21,Coimbatore,6.7,157,96,1
2024-07-24,Coimbatore,3.9,219,68,0
2024-07-27,Coimbatore,5.7,284,77,1
2024-07-30,Coimbatore,6.5,254,28,0
2024-08-02,Coimbatore,3.4,253,3,0
2024-08-05,Coimbatore,3.9,212,92,0
2024-08-08,Coimbatore,2.8,244,16,0
2024-08-11,Coimbatore,6.9,278,3,0
2024-08-14,Coimbatore,6.5,293,84,1
2024-08-17,Coimbatore,2.1,224,17,0
2024-08-20,Coimbatore,6.3,98,6,0
2024-08-23,Coimbatore,3.3,172,27,0
2024-08-26,Coimbatore,4.3,177,97,0
2024-08-29,Coimbatore,6.4,147,96,1
2024-09-01,Coimbatore,6.8,220,32,0
2024-09-04,Coimbatore,6.2,245,2,0
2024-09-07,Coimbatore,5.7,31,44,0
2024-09-10,Coimbatore,3.1,40,99,0
2024-09-13,Coimbatore,6.8,25,96,1
2024-09-16,Coimbatore,2.2,131,25,0
2024-09-19,Coimbatore,6.2,83,30,0
2024-09-22,Coimbatore,2.6,63,72,0
2024-09-25,Coimbatore,6.7,243,89,1
2024-09-28,Coimbatore,3.3,193,21,0
2024-10-01,Coimbatore,5.0,63,99,1
2024-10-04,Coimbatore,6.1,164,13,0
2024-10-07,Coimbatore,4.9,164,73,0
2024-10-10,Coimbatore,5.4,197,50,0
2024-10-13,Coimbatore,6.7,106,9,0
2024-10-16,Coimbatore,5.0,129,13,0
2024-10-19,Coimbatore,5.5,159,87,1
2024-10-22,Coimbatore,5.0,66,72,1
2024-10-25,Coimbatore,5.9,182,68,1
2024-10-28,Coimbatore,4.1,194,8,0
2024-10-31,Coimbatore,4.5,179,1,0
2024-11-03,Coimbatore,6.2,255,13,0
2024-11-06,Coimbatore,4.2,190,81,0
2024-11-09,Coimbatore,6.5,240,90,1
2024-11-12,Coimbatore,2.8,95,93,0
2024-11-15,Coimbatore,4.6,143,78,0
2024-11-18,Coimbatore,6.0,280,99,1
2024-11-21,Coimbatore,4.4,228,93,0
2024-11-24,Coimbatore,5.0,170,31,0
2024-11-27,Coimbatore,6.2,49,35,0
2024-11-30,Coimbatore,6.4,129,96,1
2024-12-03,Coimbatore,4.3,199,43,0
2024-12-06,Coimbatore,2.1,171,23,0
2024-12-09,Coimbatore,4.4,186,33,0
2024-12-12,Coimbatore,3.7,146,71,0
2024-12-15,Coimbatore,2.1,102,10,0
2024-12-18,Coimbatore,3.2,213,62,0
2024-12-21,Coimbatore,4.8,128,88,0
2024-12-24,Coimbatore,4.4,256,57,0
2024-12-27,Coimbatore,6.0,52,37,0
2024-12-30,Coimbatore,3.1,129,39,0
2024-01-01,Madurai,5.3,193,60,1
2024-01-04,Madurai,4.8,181,54,0
2024-01-07,Madurai,7.0,286,42,0
2024-01-10,Madurai,3.8,237,34,0
2024-01-13,Madurai,3.5,123,15,0
2024-01-16,Madurai,5.6,166,15,0
2024-01-19,Madurai,5.7,99,24,0
2024-01-22,Madurai,3.1,252,35,0
2024-01-25,Madurai,5.6,273,76,1
2024-01-28,Madurai,3.4,56,24,0
2024-01-31,Madurai,3.5,189,22,0
2024-02-03,Madurai,3.5,278,16,0
2024-02-06,Madurai,3.4,32,70,0
2024-02-09,Madurai,3.5,69,81,0
2024-02-12,Madurai,6.3,256,13,0
2024-02-15,Madurai,6.4,298,36,0
2024-02-18,Madurai,4.3,230,43,0
2024-02-21,Madurai,2.9,31,32,0
2024-02-24,Madurai,6.7,249,14,0
2024-02-27,Madurai,6.1,210,62,1
2024-03-02,Madurai,2.4,32,19,0
2024-03-05,Madurai,2.7,293,38,0
2024-03-08,Madurai,2.4,132,15,0
2024-03-11,Madurai,4.8,218,77,0
2024-03-14,Madurai,5.0,120,99,1
2024-03-17,Madurai,4.6,235,56,0
2024-03-20,Madurai,3.5,224,39,0
2024-03-23,Madurai,4.8,35,78,0
2024-03-26,Madurai,6.8,55,97,1
2024-03-29,Madurai,3.0,113,33,0
2024-04-01,Madurai,5.3,85,30,0
2024-04-04,Madurai,2.9,43,20,0
2024-04-07,Madurai,2.0,235,88,0
2024-04-10,Madurai,5.0,154,4,0
2024-04-13,Madurai,3.2,149,89,0
2024-04-16,Madurai,6.3,41,87,1
2024-04-19,Madurai,3.2,140,100,0
2024-04-22,Madurai,6.0,106,54,0
2024-04-25,Madurai,2.6,120,82,0
2024-04-28,Madurai,2.7,141,18,0
2024-05-01,Madurai,2.4,89,39,0
2024-05-04,Madurai,5.0,296,36,0
2024-05-07,Madurai,4.2,244,88,0
2024-05-10,Madurai,3.5,211,34,0
2024-05-13,Madurai,4.5,257,56,0
2024-05-16,Madurai,2.4,25,55,0
2024-05-19,Madurai,5.7,133,3,0
2024-05-22,Madurai,2.5,299,75,0
2024-05-25,Madurai,6.8,142,73,1
2024-05-28,Madurai,2.2,94,60,0
2024-05-31,Madurai,4.6,231,35,0
2024-06-03,Madurai,2.9,228,81,0
2024-06-06,Madurai,6.1,51,60,1
2024-06-09,Madurai,3.7,175,41,0
2024-06-12,Madurai,5.4,87,42,0
2024-06-15,Madurai,4.1,258,36,0
2024-06-18,Madurai,5.3,210,97,1
2024-06-21,Madurai,4.8,237,11,0
2024-06-24,Madurai,3.6,170,14,0
2024-06-27,Madurai,6.9,211,65,1
2024-06-30,Madurai,6.1,5,84,1
2024-07-03,Madurai,6.3,241,52,0
2024-07-06,Madurai,2.3,270,46,0
2024-07-09,Madurai,5.1,260,80,1
2024-07-12,Madurai,4.2,31,26,0
2024-07-15,Madurai,3.3,72,36,0
2024-07-18,Madurai,4.2,253,15,0
