date,district,wind_speed,pressure,humidity,cyclone
2025-01-01,Chennai,64,1015,59,0
2025-01-04,Chennai,98,986,82,0
2025-01-07,Chennai,95,988,72,0
2025-01-10,Chennai,98,977,93,0
2025-01-13,Chennai,116,982,69,0
2025-01-16,Chennai,144,968,75,0
2025-01-19,Chennai,142,1018,58,0
2025-01-22,Chennai,141,970,78,0
2025-01-25,Chennai,42,1013,63,0
2025-01-28,Chennai,37,953,85,0
2025-01-31,Chennai,91,983,84,0
2025-02-03,Chennai,135,1011,93,0
2025-02-06,Chennai,86,968,66,0
2025-02-09,Chennai,141,972,90,1
2025-02-12,Chennai,45,1007,77,0
2025-02-15,Chennai,109,1000,99,0
2025-02-18,Chennai,115,956,98,1
2025-02-21,Chennai,69,998,68,0
2025-02-24,Chennai,154,999,67,0
2025-02-27,Chennai,67,983,76,0
2025-03-02,Chennai,36,989,96,0
2025-03-05,Chennai,115,961,87,1
2025-03-08,Chennai,106,999,75,0
2025-03-11,Chennai,154,1017,90,0
2025-03-14,Chennai,108,962,97,1
2025-03-17,Chennai,68,981,89,0
2025-03-20,Chennai,49,952,70,0
2025-03-23,Chennai,56,1012,61,0
2025-03-26,Chennai,33,972,67,0
2025-03-29,Chennai,83,976,92,0
2025-04-01,Chennai,116,1004,86,0
2025-04-04,Chennai,99,968,94,0
2025-04-07,Chennai,64,976,97,0
2025-04-10,Chennai,54,995,68,0
2025-04-13,Chennai,60,960,79,0
2025-04-16,Chennai,42,993,55,0
2025-04-19,Chennai,61,966,66,0
2025-04-22,Chennai,53,1020,89,0
2025-04-25,Chennai,99,1000,91,0
2025-04-28,Chennai,92,995,66,0
2025-05-01,Chennai,75,969,81,0
2025-05-04,Chennai,121,983,58,0
2025-05-07,Chennai,74,983,93,0
2025-05-10,Chennai,130,958,60,0
2025-05-13,Chennai,56,953,65,0
2025-05-16,Chennai,104,953,78,0
2025-05-19,Chennai,74,985,76,0
2025-05-22,Chennai,45,964,98,0
2025-05-25,Chennai,132,1008,73,0
2025-05-28,Chennai,79,1001,60,0
2025-05-31,Chennai,67,991,60,0
2025-06-03,Chennai,43,967,56,0
2025-06-06,Chennai,135,1016,65,0
2025-06-09,Chennai,98,956,79,0
2025-06-12,Chennai,76,1011,77,0
2025-06-15,Chennai,71,972,91,0
2025-06-18,Chennai,33,1019,69,0
2025-06-21,Chennai,91,1002,87,0
2025-06-24,Chennai,107,986,62,0
2025-06-27,Chennai,46,1005,86,0
2025-06-30,Chennai,76,954,72,0
2025-07-03,Chennai,60,983,95,0
2025-07-06,Chennai,154,970,61,0
2025-07-09,Chennai,137,965,86,1
2025-07-12,Chennai,44,956,56,0
2025-07-15,Chennai,89,976,100,0
2025-07-18,Chennai,49,991,86,0
2025-07-21,Chennai,85,994,77,0
2025-07-24,Chennai,120,960,74,0
2025-07-27,Chennai,139,1015,84,0
2025-07-30,Chennai,107,989,91,0
2025-08-02,Chennai,156,1008,94,0
2025-08-05,Chennai,105,950,74,0
2025-08-08,Chennai,52,1014,99,0
2025-08-11,Chennai,132,1000,89,0
2025-08-14,Chennai,31,970,63,0
2025-08-17,Chennai,106,957,56,0
2025-08-20,Chennai,147,1017,58,0
2025-08-23,Chennai,91,1002,95,0
2025-08-26,Chennai,73,953,59,0
2025-08-29,Chennai,99,977,81,0
2025-09-01,Chennai,65,980,80,0
2025-09-04,Chennai,55,959,80,0
2025-09-07,Chennai,91,960,62,0
2025-09-10,Chennai,101,1000,77,0
2025-09-13,Chennai,53,957,76,0
2025-09-16,Chennai,95,996,81,0
2025-09-19,Chennai,109,1010,72,0
2025-09-22,Chennai,109,962,78,0
2025-09-25,Chennai,54,960,73,0
2025-09-28,Chennai,126,1002,96,0
2025-10-01,Chennai,34,972,90,0
2025-10-04,Chennai,158,966,66,0
2025-10-07,Chennai,152,989,72,0
2025-10-10,Chennai,95,987,76,0
2025-10-13,Chennai,78,991,86,0
2025-10-16,Chennai,128,969,55,0
2025-10-19,Chennai,59,986,72,0
2025-10-22,Chennai,84,985,87,0
2025-10-25,Chennai,129,982,100,0
2025-10-28,Chennai,123,1006,89,0
2025-10-31,Chennai,39,1018,71,0
2025-11-03,Chennai,105,995,62,0
2025-11-06,Chennai,117,971,74,0
2025-11-09,Chennai,105,995,84,0
2025-11-12,Chennai,61,986,95,0
2025-11-15,Chennai,109,967,57,0
2025-11-18,Chennai,84,1020,86,0
2025-11-21,Chennai,90,953,65,0
2025-11-24,Chennai,106,977,65,0
2025-11-27,Chennai,129,980,92,0
2025-11-30,Chennai,43,1009,71,0
2025-12-03,Chennai,58,1003,91,0
2025-12-06,Chennai,38,996,77,0
2025-12-09,Chennai,83,1006,89,0
2025-12-12,Chennai,154,967,83,0
2025-12-15,Chennai,102,992,79,0
2025-12-18,Chennai,147,1013,68,0
2025-12-21,Chennai,35,972,94,0
2025-12-24,Chennai,122,963,68,0
2025-12-27,Chennai,142,960,93,1
2025-12-30,Chennai,137,1015,91,0
2025-01-01,Coimbatore,65,961,97,0
2025-01-04,Coimbatore,75,957,82,0
2025-01-07,Coimbatore,102,967,68,0
2025-01-10,Coimbatore,68,961,71,0
2025-01-13,Coimbatore,92,986,79,0
2025-01-16,Coimbatore,84,1008,72,0
2025-01-19,Coimbatore,79,987,59,0
2025-01-22,Coimbatore,111,1002,89,0
2025-01-25,Coimbatore,136,963,67,0
2025-01-28,Coimbatore,50,978,69,0
2025-01-31,Coimbatore,54,1010,71,0
2025-02-03,Coimbatore,127,1008,100,0
2025-02-06,Coimbatore,30,978,83,0
2025-02-09,Coimbatore,98,970,82,0
2025-02-12,Coimbatore,81,990,72,0
2025-02-15,Coimbatore,71,993,76,0
2025-02-18,Coimbatore,93,984,55,0
2025-02-21,Coimbatore,69,960,78,0
2025-02-24,Coimbatore,90,964,78,0
2025-02-27,Coimbatore,48,973,78,0
2025-03-02,Coimbatore,85,1016,95,0
2025-03-05,Coimbatore,150,995,75,0
2025-03-08,Coimbatore,47,991,88,0
2025-03-11,Coimbatore,148,986,64,0
2025-03-14,Coimbatore,154,979,90,1
2025-03-17,Coimbatore,155,1018,88,0
2025-03-20,Coimbatore,46,990,79,0
2025-03-23,Coimbatore,126,1018,100,0
2025-03-26,Coimbatore,116,1019,73,0
2025-03-29,Coimbatore,65,969,86,0
2025-04-01,Coimbatore,135,962,74,0
2025-04-04,Coimbatore,160,1006,98,0
2025-04-07,Coimbatore,155,967,87,1
2025-04-10,Coimbatore,74,989,56,0
2025-04-13,Coimbatore,141,988,65,0
2025-04-16,Coimbatore,77,1011,95,0
2025-04-19,Coimbatore,111,971,82,0
2025-04-22,Coimbatore,92,1007,60,0
2025-04-25,Coimbatore,55,998,94,0
2025-04-28,Coimbatore,118,961,98,1
2025-05-01,Coimbatore,134,971,98,1
2025-05-04,Coimbatore,128,995,88,0
2025-05-07,Coimbatore,32,955,90,0
2025-05-10,Coimbatore,159,1002,87,0
2025-05-13,Coimbatore,82,961,74,0
2025-05-16,Coimbatore,98,995,82,0
2025-05-19,Coimbatore,140,961,67,0
2025-05-22,Coimbatore,50,962,64,0
2025-05-25,Coimbatore,158,968,84,0
2025-05-28,Coimbatore,75,967,95,0
2025-05-31,Coimbatore,111,1008,74,0
2025-06-03,Coimbatore,55,984,71,0
2025-06-06,Coimbatore,44,1007,65,0
2025-06-09,Coimbatore,105,974,79,0
2025-06-12,Coimbatore,89,978,73,0
2025-06-15,Coimbatore,123,953,87,1
2025-06-18,Coimbatore,132,963,92,1
2025-06-21,Coimbatore,113,953,56,0
2025-06-24,Coimbatore,61,998,90,0
2025-06-27,Coimbatore,103,995,70,0
2025-06-30,Coimbatore,68,977,61,0
2025-07-03,Coimbatore,42,1014,57,0
2025-07-06,Coimbatore,55,977,87,0
2025-07-09,Coimbatore,143,958,88,1
2025-07-12,Coimbatore,91,967,89,0
2025-07-15,Coimbatore,144,994,73,0
2025-07-18,Coimbatore,125,983,79,0
2025-07-21,Coimbatore,115,991,90,0
2025-07-24,Coimbatore,157,991,79,0
2025-07-27,Coimbatore,76,977,61,0
2025-07-30,Coimbatore,64,1001,79,0
2025-08-02,Coimbatore,63,1015,58,0
2025-08-05,Coimbatore,81,998,55,0
2025-08-08,Coimbatore,89,1008,68,0
2025-08-11,Coimbatore,109,951,67,0
2025-08-14,Coimbatore,96,1015,80,0
2025-08-17,Coimbatore,126,968,90,1
2025-08-20,Coimbatore,88,953,84,0
2025-08-23,Coimbatore,132,955,99,1
2025-08-26,Coimbatore,42,969,92,0
2025-08-29,Coimbatore,71,950,75,0
2025-09-01,Coimbatore,140,994,93,0
2025-09-04,Coimbatore,108,969,98,1
2025-09-07,Coimbatore,106,987,85,0
2025-09-10,Coimbatore,103,974,79,0
2025-09-13,Coimbatore,121,968,58,0
2025-09-16,Coimbatore,127,965,81,0
2025-09-19,Coimbatore,101,952,98,1
2025-09-22,Coimbatore,132,1016,64,0
2025-09-25,Coimbatore,32,973,74,0
2025-09-28,Coimbatore,138,980,55,0
2025-10-01,Coimbatore,124,968,55,0
2025-10-04,Coimbatore,74,986,76,0
2025-10-07,Coimbatore,120,980,86,0
2025-10-10,Coimbatore,51,991,89,0
2025-10-13,Coimbatore,115,1012,61,0
2025-10-16,Coimbatore,132,978,86,1
2025-10-19,Coimbatore,86,1020,62,0
2025-10-22,Coimbatore,95,1008,90,0
2025-10-25,Coimbatore,71,989,95,0
2025-10-28,Coimbatore,92,1011,55,0
2025-10-31,Coimbatore,93,964,61,0
2025-11-03,Coimbatore,99,953,88,0
2025-11-06,Coimbatore,75,965,62,0
2025-11-09,Coimbatore,34,973,65,0
2025-11-12,Coimbatore,44,955,57,0
2025-11-15,Coimbatore,153,987,78,0
2025-11-18,Coimbatore,136,970,95,1
2025-11-21,Coimbatore,70,997,65,0
2025-11-24,Coimbatore,114,1008,91,0
2025-11-27,Coimbatore,127,1001,98,0
2025-11-30,Coimbatore,81,1010,72,0
2025-12-03,Coimbatore,60,1000,99,0
2025-12-06,Coimbatore,159,975,72,0
2025-12-09,Coimbatore,145,1000,78,0
2025-12-12,Coimbatore,106,962,69,0
2025-12-15,Coimbatore,31,984,97,0
2025-12-18,Coimbatore,138,1007,89,0
2025-12-21,Coimbatore,127,1003,78,0
2025-12-24,Coimbatore,72,1014,93,0
2025-12-27,Coimbatore,105,985,64,0
2025-12-30,Coimbatore,87,1010,69,0
2025-01-01,Madurai,47,1012,83,0
2025-01-04,Madurai,100,1019,88,0
2025-01-07,Madurai,34,991,80,0
2025-01-10,Madurai,34,954,88,0
2025-01-13,Madurai,103,983,76,0
2025-01-16,Madurai,53,955,94,0
2025-01-19,Madurai,33,991,55,0
2025-01-22,Madurai,46,958,78,0
2025-01-25,Madurai,57,974,100,0
2025-01-28,Madurai,86,1003,63,0
2025-01-31,Madurai,63,969,73,0
2025-02-03,Madurai,122,984,65,0
2025-02-06,Madurai,149,991,82,0
2025-02-09,Madurai,121,995,88,0
2025-02-12,Madurai,137,968,63,0
2025-02-15,Madurai,109,985,96,0
2025-02-18,Madurai,148,985,85,0
2025-02-21,Madurai,101,1019,85,0
2025-02-24,Madurai,105,965,94,1
2025-02-27,Madurai,123,978,85,0
2025-03-02,Madurai,104,963,80,0
2025-03-05,Madurai,66,972,68,0
2025-03-08,Madurai,50,953,96,0
2025-03-11,Madurai,152,1014,59,0
2025-03-14,Madurai,103,1008,88,0
2025-03-17,Madurai,153,967,78,0
2025-03-20,Madurai,50,962,99,0
2025-03-23,Madurai,41,973,100,0
2025-03-26,Madurai,152,1019,95,0
2025-03-29,Madurai,158,1012,76,0
2025-04-01,Madurai,112,1001,62,0
2025-04-04,Madurai,86,1020,95,0
2025-04-07,Madurai,56,1008,91,0
2025-04-10,Madurai,35,968,85,0
2025-04-13,Madurai,47,1016,56,0
2025-04-16,Madurai,112,953,79,0
2025-04-19,Madurai,136,1015,55,0
2025-04-22,Madurai,112,1013,80,0
2025-04-25,Madurai,150,950,81,0
2025-04-28,Madurai,124,963,74,0
2025-05-01,Madurai,79,995,71,0
2025-05-04,Madurai,59,993,58,0
2025-05-07,Madurai,31,973,90,0
2025-05-10,Madurai,143,972,62,0
2025-05-13,Madurai,151,1014,91,0
2025-05-16,Madurai,41,974,85,0
2025-05-19,Madurai,89,1000,80,0
2025-05-22,Madurai,127,999,100,0
2025-05-25,Madurai,81,987,64,0
2025-05-28,Madurai,47,971,66,0
2025-05-31,Madurai,141,1015,97,0
2025-06-03,Madurai,89,988,98,0
2025-06-06,Madurai,87,993,68,0
2025-06-09,Madurai,95,970,71,0
2025-06-12,Madurai,71,1007,63,0
2025-06-15,Madurai,132,966,100,1
2025-06-18,Madurai,127,961,84,0
2025-06-21,Madurai,103,1012,85,0
2025-06-24,Madurai,98,965,90,0
2025-06-27,Madurai,106,1006,74,0
2025-06-30,Madurai,156,970,100,1
2025-07-03,Madurai,127,957,83,0
2025-07-06,Madurai,155,1018,64,0
2025-07-09,Madurai,110,971,73,0
2025-07-12,Madurai,48,998,66,0
2025-07-15,Madurai,39,995,67,0
2025-07-18,Madurai,136,990,79,0
2025-07-21,Madurai,115,970,76,0
2025-07-24,Madurai,158,1019,61,0
2025-07-27,Madurai,143,991,83,0
2025-07-30,Madurai,146,1004,75,0
2025-08-02,Madurai,100,952,72,0
2025-08-05,Madurai,78,975,84,0
2025-08-08,Madurai,45,959,99,0
